firm,indicator,category,pol,pay
E00006,サステナビリティ,nonfin,1,0
E00006,営業利益,acc,0,1
E00006,売上高,acc,0,1
E00006,当期純利益,acc,0,1
E00007,EBITDA,acc,1,1
E00007,ROIC,ratio,1,0
E00007,コア営業利益,acc,1,0
E00007,サステナビリティ,nonfin,1,0
E00007,営業利益,acc,1,0
E00007,売上収益,acc,1,0
E00008,PBR,stock,1,0
E00008,ROIC,ratio,1,0
E00008,利益率,ratio,1,0
E00008,営業利益率,ratio,1,1
E00008,当期純利益,acc,1,1
E00011,D/Eレシオ,ratio,1,0
E00011,ESG,nonfin,1,1
E00011,ROE,ratio,1,0
E00011,SDGs,nonfin,1,0
E00011,サステナビリティ,nonfin,0,1
E00011,売上高,acc,1,0
E00011,当期純利益,acc,0,1
E00011,時価総額,stock,0,1
E00011,経常利益,acc,1,1
E00011,脱炭素/温室効果ガス,nonfin,1,1
E00011,自己資本比率,ratio,1,0
E00012,DOE,stock,1,0
E00012,ROIC,ratio,1,0
E00012,キャッシュフロー,acc,1,0
E00012,サステナビリティ,nonfin,1,0
E00012,営業利益,acc,0,1
E00012,売上高,acc,1,1
E00012,売上高比,ratio,1,0
E00014,ESG,nonfin,1,0
E00014,ROE,ratio,0,1
E00014,ROIC,ratio,1,1
E00014,SDGs,nonfin,1,0
E00014,エンゲージメント,nonfin,0,1
E00014,サステナビリティ,nonfin,1,1
E00014,営業利益,acc,1,0
E00014,売上高,acc,1,1
E00014,売上高比,ratio,1,0
E00014,株主還元率,stock,1,0
E00014,経常利益,acc,0,1
E00014,脱炭素/温室効果ガス,nonfin,0,1
E00015,ESG,nonfin,0,1
E00015,ROIC,ratio,1,1
E00015,営業利益,acc,1,0
E00015,女性管理職比率,nonfin,0,1
E00015,経常利益,acc,0,1
E00015,脱炭素/温室効果ガス,nonfin,0,1
E00021,D/Eレシオ,ratio,1,0
E00021,DOE,stock,1,0
E00021,EBITDA,acc,1,0
E00021,ROE,ratio,1,0
E00021,ROIC,ratio,1,0
E00021,TSR,stock,0,1
E00021,WACC,ratio,1,0
E00021,キャッシュフロー,acc,1,0
E00021,サステナビリティ,nonfin,1,1
E00021,営業利益,acc,0,1
E00021,脱炭素/温室効果ガス,nonfin,1,0
E00021,非財務目標,nonfin,0,1
E00023,DOE,stock,1,0
E00023,ESG,nonfin,0,1
E00023,SDGs,nonfin,1,0
E00023,エンゲージメント,nonfin,0,1
E00023,キャッシュフロー,acc,0,1
E00023,サステナビリティ,nonfin,1,0
E00023,フリーキャッシュフロー,acc,0,1
E00023,労働安全,nonfin,0,1
E00023,当期純利益,acc,1,1
E00023,脱炭素/温室効果ガス,nonfin,1,1
E00023,自己資本比率,ratio,1,0
E00024,ESG,nonfin,0,1
E00024,ROE,ratio,1,0
E00024,ROIC,ratio,1,1
E00024,サステナビリティ,nonfin,1,0
E00024,フリーキャッシュフロー,acc,1,0
E00024,売上高,acc,1,1
E00024,時価総額,stock,0,1
E00024,経常利益,acc,1,1
E00024,脱炭素/温室効果ガス,nonfin,1,1
E00028,ROA,ratio,1,0
E00028,ROE,ratio,1,0
E00028,営業利益,acc,1,0
E00028,当期純利益,acc,0,1
E00028,当期純利益率,ratio,1,0
E00028,経常利益,acc,1,0
E00030,ESG,nonfin,1,0
E00030,サステナビリティ,nonfin,1,0
E00030,利益率,ratio,1,0
E00030,経常利益,acc,1,1
E00030,脱炭素/温室効果ガス,nonfin,1,0
E00032,D/Eレシオ,ratio,1,0
E00032,DOE,stock,1,0
E00032,EBITDA,acc,1,0
E00032,ESG,nonfin,1,0
E00032,ROE,ratio,1,0
E00032,ROIC,ratio,1,0
E00032,SDGs,nonfin,1,0
E00032,キャッシュフロー,acc,1,0
E00032,サステナビリティ,nonfin,1,0
E00032,利益率,ratio,1,0
E00032,営業利益,acc,1,1
E00032,売上高,acc,1,0
E00035,ROE,ratio,1,0
E00035,ROIC,ratio,1,0
E00035,営業利益,acc,1,1
E00035,営業利益率,ratio,1,0
E00035,当期純利益,acc,1,1
E00035,自己資本比率,ratio,1,0
E00036,ROIC,ratio,1,0
E00036,WACC,ratio,1,0
E00036,営業利益,acc,1,1
E00036,営業利益率,ratio,0,1
E00037,当期純利益,acc,1,1
E00037,経常利益,acc,0,1
E00041,PBR,stock,1,0
E00041,当期純利益,acc,1,1
E00041,株主還元率,stock,0,1
E00041,脱炭素/温室効果ガス,nonfin,1,1
E00041,配当性向,stock,1,0
E00043,ROE,ratio,0,1
E00043,ROIC,ratio,0,1
E00043,キャッシュフロー,acc,0,1
E00043,当期純利益,acc,0,1
E00043,株主還元率,stock,0,1
E00043,脱炭素/温室効果ガス,nonfin,1,1
E00043,非財務指標,nonfin,0,1
E00048,ESG,nonfin,0,1
E00048,ESG外部評価,nonfin,0,1
E00048,PBR,stock,1,0
E00048,ROIC,ratio,0,1
E00048,TSR,stock,0,1
E00048,エンゲージメント,nonfin,0,1
E00048,サステナビリティ,nonfin,1,0
E00048,リスクマネジメント,nonfin,0,1
E00048,営業利益,acc,1,1
E00048,売上高,acc,1,0
E00048,技術力強化,nonfin,0,1
E00048,新規事業推進,nonfin,0,1
E00048,環境指標,nonfin,0,1
E00048,脱炭素/温室効果ガス,nonfin,1,1
E00048,非財務指標,nonfin,0,1
E00048,非財務目標,nonfin,0,1
E00052,ROE,ratio,1,0
E00052,エンゲージメント,nonfin,0,1
E00052,営業利益,acc,1,1
E00052,売上高,acc,1,0
E00052,当期純利益,acc,1,1
E00052,脱炭素/温室効果ガス,nonfin,0,1
E00053,ESG,nonfin,1,0
E00053,PBR,stock,1,0
E00053,SDGs,nonfin,1,0
E00053,キャッシュフロー,acc,1,0
E00053,サステナビリティ,nonfin,1,1
E00053,当期純利益,acc,0,1
E00053,経常利益,acc,1,1
E00053,脱炭素/温室効果ガス,nonfin,1,0
E00055,EPS,acc,0,1
E00055,ESG,nonfin,0,1
E00055,ROE,ratio,0,1
E00055,TSR,stock,0,1
