firm,period_end,rp,market,pol_acc,pay_acc,pol_ratio,pay_ratio,pol_nongaap,pay_nongaap,pol_nonfin,pay_nonfin,pol_stock,pay_stock
E00006,2025-05-31,P,プライム,0,1,0,0,0,0,1,0,0,0
E00007,2026-03-31,P,プライム,1,0,1,0,1,1,1,0,0,0
E00008,2026-03-31,P,プライム,1,1,1,1,0,0,0,0,1,0
E00011,2025-12-31,P,プライム,1,1,1,0,0,0,1,1,0,1
E00012,2026-03-31,P,プライム,1,1,1,0,0,0,1,0,0,0
E00014,2026-03-31,P,プライム,1,1,1,1,0,0,1,1,0,0
E00015,2026-03-31,P,プライム,1,1,1,1,0,0,0,1,0,0
E00021,2026-03-31,P,プライム,1,1,1,0,1,0,1,1,0,1
E00023,2026-03-31,P,プライム,1,1,1,0,0,0,1,1,0,0
E00024,2026-03-31,P,プライム,1,1,1,1,0,0,1,1,0,1
E00028,2026-03-31,P,プライム,1,1,1,0,0,0,0,0,0,0
E00030,2026-03-31,P,プライム,1,1,1,0,0,0,1,0,0,0
E00032,2026-03-31,P,プライム,1,1,1,0,1,0,1,0,0,0
E00035,2026-03-31,P,スタンダード,1,1,1,0,0,0,0,0,0,0
E00036,2026-03-31,P,プライム,1,1,1,1,0,0,0,0,0,0
E00037,2026-03-31,P,プライム,1,1,0,0,0,0,0,0,0,0
E00041,2026-03-31,P,プライム,1,1,1,1,0,0,1,1,1,0
E00043,2025-12-31,P,プライム,0,1,0,1,0,0,1,1,0,0
E00048,2026-03-31,P,プライム,1,1,0,1,0,0,1,1,1,1
E00052,2026-03-31,P,プライム,1,1,1,0,0,0,0,1,0,0
E00053,2026-03-31,P,プライム,1,1,0,0,0,0,1,1,1,0
E00055,2026-03-31,P,プライム,0,1,0,1,0,0,1,1,0,1
E00056,2026-03-31,P,プライム,1,1,0,0,0,0,1,1,0,1
E00058,2026-03-31,P,プライム,1,1,1,1,0,0,1,1,0,0
E00059,2025-05-31,P,プライム,1,1,1,0,0,0,1,0,1,0
E00060,2026-03-31,P,プライム,1,1,1,1,0,0,1,0,0,1
E00064,2026-03-31,P,スタンダード,1,1,1,0,0,0,1,0,0,0
E00065,2026-03-31,P,プライム,1,1,1,0,0,0,1,1,0,0
E00073,2026-03-31,P,プライム,1,1,1,0,0,0,1,0,0,0
E00074,2026-03-31,P,プライム,1,1,1,0,0,0,1,0,0,0
E00075,2026-03-31,P,プライム,1,1,0,0,0,0,0,0,0,0
E00076,2026-03-31,P,プライム,1,1,1,0,0,0,1,0,0,0
E00080,2026-03-31,P,プライム,1,1,1,0,0,0,1,1,0,0
E00081,2026-03-31,P,プライム,1,0,0,1,0,0,0,1,0,0
E00086,2026-03-31,P,プライム,1,1,1,1,1,0,1,1,1,0
E00090,2026-03-31,P,プライム,1,1,1,0,0,0,1,0,0,0
E00092,2026-03-31,P,プライム,0,1,1,0,0,0,0,0,0,0
E00094,2026-03-31,P,プライム,1,1,1,1,0,0,0,1,1,0
E00095,2026-03-31,P,スタンダード,1,1,1,1,0,0,1,1,0,1
E00097,2026-03-31,P,プライム,1,1,1,1,0,0,1,0,0,1
E00098,2026-03-31,P,プライム,1,1,1,1,0,0,0,0,0,0
E00107,2026-03-31,P,プライム,1,1,1,0,0,0,1,0,1,0
E00112,2026-03-31,P,プライム,1,1,1,1,0,0,1,0,0,0
E00113,2026-03-31,P,プライム,1,1,1,1,0,0,1,0,0,0
E00115,2026-03-31,P,プライム,1,1,0,0,0,0,1,0,0,0
E00117,2026-03-31,P,スタンダード,1,1,1,0,0,0,1,0,0,0
E00119,2026-03-31,P,プライム,1,1,1,0,1,0,1,1,0,0
E00120,2026-03-31,P,プライム,1,1,1,0,0,0,1,0,0,0
E00121,2026-03-31,P,スタンダード,1,1,1,1,0,0,1,1,1,0
E00142,2026-03-31,P,プライム,1,1,1,0,1,0,1,0,1,0
E00143,2026-01-31,P,プライム,1,1,1,1,0,0,1,1,1,1
E00146,2026-03-31,P,プライム,1,1,1,0,0,0,0,0,0,0
E00147,2026-03-31,P,プライム,1,1,1,0,0,0,0,1,0,0
E00148,2026-03-31,P,プライム,1,1,1,1,0,0,0,0,0,0
E00149,2026-03-31,P,プライム,0,1,0,1,0,0,1,1,0,1
E00153,2026-03-31,P,プライム,1,1,0,0,0,0,1,1,0,0
E00157,2026-03-31,P,プライム,1,1,1,0,0,0,0,0,1,0
E00161,2026-03-31,P,プライム,1,1,0,0,0,0,1,0,0,0
E00167,2026-03-31,P,スタンダード,1,1,1,0,0,0,1,0,1,0
E00168,2026-03-31,P,プライム,1,1,1,1,0,0,1,0,0,0
E00175,2026-03-31,P,スタンダード,1,1,0,0,0,0,1,0,0,0
E00176,2026-03-31,P,プライム,1,0,1,1,0,0,1,0,0,0
E00183,2026-03-31,P,プライム,1,1,1,1,0,0,1,1,0,1
E00185,2026-03-31,P,プライム,1,1,1,0,0,0,1,1,1,0
E00189,2026-03-31,P,スタンダード,1,1,1,0,0,0,1,0,0,0
E00194,2026-03-31,P,プライム,1,1,1,0,0,0,0,0,0,0
E00196,2025-12-31,P,プライム,1,1,1,0,0,0,0,1,0,0
E00197,2025-04-30,P,プライム,1,1,1,0,0,0,0,0,0,0
E00207,2026-03-31,P,プライム,0,1,0,0,0,0,1,0,0,0
E00208,2026-01-31,P,プライム,1,1,1,1,0,0,1,1,0,0
